Start,End,Lobbyist,Client,Industry,Cluster
2011-08-17,2012-08-16,Travis Phillips,Robert Ehrlich,Property Owner,722
2011-08-17,2012-08-16,Travis Phillips,MTG Management,Commerical Real Property Management,768
2011-08-17,2012-08-16,Travis Phillips,Texas Capital Bank,Banking Association,326
2011-08-17,2012-08-16,Travis Phillips,The Menagerie,Property Owner,723
2011-08-17,2012-08-16,Travis Phillips,Noble Savage Design/Build,Property Owner,319
2011-08-17,2012-08-16,Travis Phillips,Northwest Austin Civic Association,Neighborhood Association,297
2011-08-17,2012-08-16,Travis Phillips,NuRock Development,Real Property Owner,332
2011-08-17,2012-08-16,Travis Phillips,Oak Hill United Methodist Church,Property Owner,687
2011-08-17,2012-08-16,Travis Phillips,Oliva's Tailor Shop,Property Owner,319
2011-08-17,2012-08-16,Travis Phillips,Oxford Alliance Investments,Land Development Company,334
2011-08-17,2012-08-16,Travis Phillips,P and H Medical Solutions,Property Owner,716
2011-08-17,2012-08-16,Travis Phillips,Pacifica Host Hotels,Hotel,136
2011-08-17,2012-08-16,Travis Phillips,Prevarian Hospital Partners,Property Owner,635
2011-08-17,2012-08-16,Travis Phillips,Pasta and Company,Property Owner,304
2011-08-17,2012-08-16,Travis Phillips,Radec Management,Property Management,766
2011-08-17,2012-08-16,Travis Phillips,"Riverside Resources Investments, Limited",Property Owner,100
2011-08-17,2012-08-16,Travis Phillips,Robert Ross,Property Owner,722
2011-08-17,2012-08-16,Travis Phillips,Rob Roy Homeowners Association,Neighborhood Association,274
